id_city,city_name,department_name,measurement
17,Neiva,Huila,10.9
9,Yopal,Casanare,36.0
13,Monteria,Cordoba,30.8
25,Pereira,Risaralda,49.3
27,Bucaramanga,Santander,18.6
2,Medellin,Antioquia,17.8
22,Cucuta,Norte de Santander,2.4
31,Mitu,Vaupes,44.9
11,Valledupar,Cesar,11.1
8,Florencia,Caqueta,20.0
7,Manizales,Caldas,21.7
30,Cali,Valle del Cauca,37.9
3,Arauca,Arauca,1.8
7,Manizales,Caldas,7.1
30,Cali,Valle del Cauca,23.1
10,Popayan,Cauca,33.4
14,Bogota,Cundinamarca,26.6
17,Neiva,Huila,37.0
17,Neiva,Huila,5.2
31,Mitu,Vaupes,26.2
10,Popayan,Cauca,37.8
6,Tunja,Boyaca,28.3
22,Cucuta,Norte de Santander,5.8
19,Santa Marta,Magdalena,14.4
31,Mitu,Vaupes,39.5
1,Leticia,Amazonas,21.4
2,Medellin,Antioquia,31.7
29,Ibague,Tolima,2.7
7,Manizales,Caldas,5.6
28,Sincelejo,Sucre,29.5
1,Leticia,Amazonas,39.6
2,Medellin,Antioquia,22.3
20,Villavicencio,Meta,21.3
6,Tunja,Boyaca,29.1
14,Bogota,Cundinamarca,48.3
2,Medellin,Antioquia,24.9
14,Bogota,Cundinamarca,19.7
30,Cali,Valle del Cauca,15.1
23,Mocoa,Putumayo,19.9
26,San Andres,San Andres y Providencia,23.0
3,Arauca,Arauca,14.7
32,Puerto Carreno,Vichada,16.1
11,Valledupar,Cesar,49.3
22,Cucuta,Norte de Santander,21.7
12,Quibdo,Choco,20.1
5,Cartagena,Bolivar,5.2
10,Popayan,Cauca,20.7
21,Pasto,Narino,16.6
8,Florencia,Caqueta,20.2
17,Neiva,Huila,8.5
23,Mocoa,Putumayo,32.5
26,San Andres,San Andres y Providencia,16.2
19,Santa Marta,Magdalena,14.1
26,San Andres,San Andres y Providencia,18.2
6,Tunja,Boyaca,49.6
32,Puerto Carreno,Vichada,48.8
6,Tunja,Boyaca,7.1
19,Santa Marta,Magdalena,49.6
30,Cali,Valle del Cauca,23.4
1,Leticia,Amazonas,28.1
5,Cartagena,Bolivar,21.8
13,Monteria,Cordoba,26.9
15,Inirida,Guainia,29.2
22,Cucuta,Norte de Santander,37.8
19,Santa Marta,Magdalena,5.7
13,Monteria,Cordoba,9.7
17,Neiva,Huila,26.6
31,Mitu,Vaupes,10.3
26,San Andres,San Andres y Providencia,14.2
6,Tunja,Boyaca,30.3
4,Barranquilla,Atlantico,7.3
23,Mocoa,Putumayo,40.2
17,Neiva,Huila,42.6
17,Neiva,Huila,23.6
28,Sincelejo,Sucre,46.3
7,Manizales,Caldas,10.4
19,Santa Marta,Magdalena,26.8
9,Yopal,Casanare,12.3
12,Quibdo,Choco,18.4
19,Santa Marta,Magdalena,35.3
5,Cartagena,Bolivar,10.3
16,San Jose del Guaviare,Guaviare,45.3
3,Arauca,Arauca,21.9
5,Cartagena,Bolivar,13.7
8,Florencia,Caqueta,7.0
